Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
Images/image_0001.jpg,"A clear image of the Dome of the Rock in Jerusalem, showcasing its iconic golden dome. It is one of the most important Islamic and historical landmarks in Palestine.",Palestine,Sunny,Afternoon,Summer,Sightseeing,Nostalgia
Images/image_0002.jpg,"a clear image of the Ibrahimi Mosque (Cave of the Patriarchs) in Hebron, one of the oldest and most significant religious and historical sites in Palestine.",Palestine,Sunny,Morning,Spring,Sightseeing,Curiosity
Images/image_0003.jpg,"A clear image of Mar Saba Monastery in Bethlehem, built dramatically along the cliffside of the desert valley, showcasing its ancient stone architecture.",Palestine,Sunny,Afternoon,Summer,Sightseeing,Curiosity
Images/image_0004.jpg,"A clear aerial view of Tell es-Sultan in Jericho, showing the archaeological mound, excavation areas, and surrounding desert landscape.",Palestine,Sunny,Morning,Spring,Other,Curiosity
Images/image_0005.jpg,"A night view of the Eiffel Tower illuminated in golden lights against a dark blue sky, highlighting its detailed iron structure from a low-angle perspective.",France,Sunny,Afternoon,Not Clear,Sightseeing,Romance
Images/image_0006.jpg,A bright and clear view of the Great Wall of China stretching across lush green mountains under a blue sky with scattered white clouds.,China,Sunny,Morning,Summer,Hiking,Adventure
Images/image_0007.jpg,"A beautiful sunset view in Santorini, Greece, showing cliffside cafes overlooking the sea and islands, with soft pastel colors in the sky.",Greece,Sunny,Evening,Summer,Other,Happiness
Images/image_0008.jpg,"A stunning nighttime panorama of New York Citys skyline, with illuminated skyscrapers reflecting beautifully on the water.",United States,Sunny,Evening,Winter,Sightseeing,Excitement
Images/image_0009.jpg,"A bright and peaceful beach view in the Maldives, showing crystal-clear turquoise water, white sand, and lush tropical trees, with a wooden walkway leading to the island.",Maldives,Sunny,Afternoon,Summer,Other,Happiness
Images/image_0010.jpg,Walking through the endless vermilion torii gates of Fushimi Inari Shrine.,Japan,Sunny,Morning,Spring,Hiking,Nostalgia
Images/image_0011.jpg,White buildings with blue domes overlooking the calm Aegean Sea.,Greece,Sunny,Afternoon,Summer,Other,Happiness
Images/image_0012.jpg,The ancient Incan citadel set high in the Andes Mountains.,Peru,Cloudy,Morning,Not Clear,Sightseeing,Adventure
Images/image_0013.jpg,Elephants walking through the tall grass of the savanna.,Tanzania,Sunny,Afternoon,Autumn,Sightseeing,Curiosity
Images/image_0014.jpg,The bright neon lights and crowds of Times Square.,United States,Sunny,Evening,Winter,Sightseeing,Excitement
Images/image_0015.jpg,Green aurora borealis dancing over a snowy landscape.,Iceland,Snowy,Evening,Winter,Other,Melancholy
